nome,partido,uf,casa,codigo_casa,pagina_parlamentar,perfil_titulo,perfil_descricao,perfil_foto,perfil_dominio,perfil_erro,filtros_json
Deputado Acácio Favacho,MDB,AP,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/204379,Deputado Federal Acácio Favacho - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Acácio Favacho na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204379.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Acácio Favacho - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Acácio Favacho na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204379.jpg""}"
Deputado Adail Filho,MDB,AM,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/220714,Deputado Federal Adail Filho - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Adail Filho na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/220714.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Adail Filho - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Adail Filho na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/220714.jpg""}"
Deputado Adilson Barroso,PL,SP,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/221328,Deputado Federal Adilson Barroso - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Adilson Barroso na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/221328.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Adilson Barroso - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Adilson Barroso na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/221328.jpg""}"
Deputado Adolfo Viana,PSDB,BA,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/204560,Deputado Federal Adolfo Viana - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Adolfo Viana na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204560.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Adolfo Viana - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Adolfo Viana na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204560.jpg""}"
Deputada Adriana Ventura,NOVO,SP,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/204528,Deputada Federal Adriana Ventura - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Adriana Ventura na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204528.jpg,camara,,"{""perfil_titulo"": ""Deputada Federal Adriana Ventura - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Adriana Ventura na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204528.jpg""}"
Deputado Adriano Do Baldy,PP,GO,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/121948,Deputado Federal Adriano do Baldy - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Adriano do Baldy na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/121948.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Adriano do Baldy - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Adriano do Baldy na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/121948.jpg""}"
Deputado Aécio Neves,PSDB,MG,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/74646,Deputado Federal Aécio Neves - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Aécio Neves na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/74646.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Aécio Neves - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Aécio Neves na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/74646.jpg""}"
Deputado Afonso Florence,PT,BA,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/160508,Deputado Federal Afonso Florence - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Afonso Florence na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160508.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Afonso Florence - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Afonso Florence na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160508.jpg""}"
Deputado Afonso Hamm,PP,RS,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/136811,Deputado Federal Afonso Hamm - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Afonso Hamm na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/136811.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Afonso Hamm - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Afonso Hamm na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/136811.jpg""}"
Deputado Afonso Motta,PDT,RS,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/178835,Deputado Federal Afonso Motta - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Afonso Motta na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178835.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Afonso Motta - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Afonso Motta na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178835.jpg""}"
Deputado Aguinaldo Ribeiro,PP,PB,Camara dos Deputados,CD,https://www.camara.leg.br/deputados/160527,Deputado Federal Aguinaldo Ribeiro - Portal da Câmara dos Deputados,Página do(a) Deputado(a) Aguinaldo Ribeiro na Câmara dos Deputados,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160527.jpg,camara,,"{""perfil_titulo"": ""Deputado Federal Aguinaldo Ribeiro - Portal da Câmara dos Deputados"", ""perfil_descricao"": ""Página do(a) Deputado(a) Aguinaldo Ribeiro na Câmara dos Deputados"", ""perfil_foto"": ""https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160527.jpg""}"
