Data,Produto,Categoria,Quantidade,Valor Unitário,Total
2024-01-05,Notebook Pro,Eletrônicos,2,4500,
2024-01-10,Mouse Sem Fio,Acessórios,10,85,
2024-01-15,Teclado Mecânico,Acessórios,5,280,
2024-01-20,Monitor 27 Pulg,Eletrônicos,3,1350,
2024-01-25,Cadeira Ergonomica,Móveis,4,920,
2024-02-02,Headset USB,Acessórios,8,190,
2024-02-12,Notebook Pro,Eletrônicos,1,4500,
2024-02-18,Mesa Stand Desk,Móveis,2,1800,
2024-02-22,Webcam HD,Acessórios,6,250,
2024-01-05,Notebook Pro,Eletrônicos,2,4500,
2024-01-10,Mouse Sem Fio,Acessórios,10,85,
2024-01-15,Teclado Mecânico,Acessórios,5,280,
2024-01-20,Monitor 27 Pulg,Eletrônicos,3,1350,
2024-01-25,Cadeira Ergonomica,Móveis,4,920,
2024-02-02,Headset USB,Acessórios,8,190,
2024-02-12,Notebook Pro,Eletrônicos,1,4500,
2024-02-18,Mesa Stand Desk,Móveis,2,1800,
2024-02-22,Webcam HD,Acessórios,6,250,
